topology,activation,baseline,objective,n_pairs,cliffs_delta_gp_favorable,median_paired_diff_gp_minus_base,ci95_lo,ci95_hi,wilcoxon_two_sided_p
deep_narrow,aggregation,Xavier_Glorot,acc,125,0.0048,5.960464477539063e-08,0.0,0.003881435096263882,0.17900146323296418
deep_narrow,aggregation,Xavier_Glorot,loss,125,-0.001856,-0.0022665560245513916,-0.005840033292770386,0.000870823860168457,0.1996757515412223
deep_narrow,aggregation,He_Kaiming,acc,125,-0.003904,0.0,-0.005116939544677734,0.0025000572204589844,0.6428429228437397
deep_narrow,aggregation,He_Kaiming,loss,125,0.035392,-0.01697564125061035,-0.039044976234436035,-0.0046331435441970825,0.014076435644293058
deep_narrow,aggregation,LeCun,acc,125,-0.01184,0.0,-0.002499997615814209,0.0035713911056518555,0.37859597127231903
deep_narrow,aggregation,LeCun,loss,125,-0.027584,-0.0012778937816619873,-0.007125437259674072,0.0032505393028259277,0.9832907975753749
deep_narrow,aggregation,Orthogonal,acc,125,0.00032,0.00010055303573608398,-0.0027778148651123047,0.0035713911056518555,0.7760066408650315
deep_narrow,aggregation,Orthogonal,loss,125,-0.01376,-0.0023169517517089844,-0.018932580947875977,0.004383772611618042,0.6057192888668526
deep_narrow,aggregation,FAVI,acc,125,0.02144,0.0025000572204589844,-0.0008192062377929688,0.009581327438354492,0.07642287779595335
deep_narrow,aggregation,FAVI,loss,125,-0.028352,0.008380591869354248,-0.0034455955028533936,0.02093377709388733,0.09121474169520849
deep_narrow,aggregation,Laor,acc,125,0.060096,0.010000050067901611,0.0027778148651123047,0.015505850315093994,0.0019518644376251431
deep_narrow,aggregation,Laor,loss,125,0.047168,-0.017883718013763428,-0.037709325551986694,0.004992008209228516,0.4197026134692292
deep_narrow,linear,Xavier_Glorot,acc,125,-0.090624,-0.027336180210113525,-0.03289473056793213,-0.016389966011047363,1.0263427509063971e-06
deep_narrow,linear,Xavier_Glorot,loss,125,-0.82784,57.49222174286842,20.75254863500595,269.9463963508606,6.663167506044375e-21
deep_narrow,linear,He_Kaiming,acc,125,-0.057792,-0.01541900634765625,-0.02362346649169922,-0.005116939544677734,0.0007128888125419734
deep_narrow,linear,He_Kaiming,loss,125,-0.775616,57.50587701797485,20.771253168582916,269.9119689464569,2.617341674643122e-20
deep_narrow,linear,LeCun,acc,125,-0.08352,-0.022365868091583252,-0.03535360097885132,-0.013064980506896973,3.822856487153574e-06
deep_narrow,linear,LeCun,loss,125,-0.827968,57.53732690215111,20.75419932603836,269.9408361315727,9.163529721697774e-22
deep_narrow,linear,Orthogonal,acc,125,-0.082176,-0.021676361560821533,-0.0308380126953125,-0.013194441795349121,1.6947035300406999e-06
deep_narrow,linear,Orthogonal,loss,125,-0.827968,57.431968450546265,20.75676703453064,269.9501079618931,2.1556679633067542e-21
deep_narrow,linear,FAVI,acc,125,-0.085568,-0.022760331630706787,-0.033821821212768555,-0.013888895511627197,5.4193175056576815e-06
deep_narrow,linear,FAVI,loss,125,-0.82976,57.49305972456932,20.759981632232666,269.91673398017883,2.369479865111548e-21
deep_narrow,linear,Laor,acc,125,-0.009856,-0.004804626107215881,-0.013587430119514465,0.0,0.2786906974199175
deep_narrow,linear,Laor,loss,125,-0.680768,57.198989510536194,20.745249211788177,269.66375452280045,1.3102045342870046e-18
deep_narrow,rectification,Xavier_Glorot,acc,125,0.006464,-0.0007042884826660156,-0.006024062633514404,0.006944477558135986,0.34906371227328237
