topology,activation,rule,baseline,cluster,n_trials,gp_acc_mean,baseline_acc_mean,gp_loss_mean,baseline_loss_mean,wilcoxon_acc_stat,wilcoxon_acc_pval_raw,wilcoxon_loss_stat,wilcoxon_loss_pval_raw,binomial_wins,binomial_win_rate,wilcoxon_acc_pval_holm,wilcoxon_loss_pval_holm,acc_significant,loss_significant
shallow,rectification,GP_Rule_1,Xavier_Glorot,0,15,0.9041447003682455,0.9093420664469402,0.21014768481254578,0.1885378286242485,39.0,0.885345458984375,109.0,0.998687744140625,3,0.2,1.0,1.0,False,False
shallow,rectification,GP_Rule_1,He_Kaiming,0,15,0.9041447003682455,0.9086378256479899,0.21014768481254578,0.18639335731665294,49.0,0.737762451171875,81.0,0.885345458984375,5,0.3333333333333333,1.0,1.0,False,False
shallow,rectification,GP_Rule_1,LeCun,0,15,0.9041447003682455,0.9158024390538534,0.21014768481254578,0.18422713056206702,26.0,0.976043701171875,94.0,0.976043701171875,4,0.26666666666666666,1.0,1.0,False,False
shallow,rectification,GP_Rule_1,Orthogonal,0,15,0.9041447003682455,0.9107532898585001,0.21014768481254578,0.19817007978757223,21.0,0.989227294921875,84.0,0.91558837890625,6,0.4,1.0,1.0,False,False
shallow,rectification,GP_Rule_1,FAVI,0,15,0.9041447003682455,0.9093345801035563,0.21014768481254578,0.1927213504910469,30.0,0.9583740234375,120.0,1.0,0,0.0,1.0,1.0,False,False
shallow,rectification,GP_Rule_1,Laor,0,15,0.9041447003682455,0.8919080058733623,0.21014768481254578,0.2430079291264216,82.0,0.114654541015625,4.0,0.000213623046875,13,0.8666666666666667,1.0,0.017303466796875,False,True
shallow,rectification,GP_Rule_2,Xavier_Glorot,0,15,0.9014581282933553,0.9093420664469402,0.20098469158013663,0.1885378286242485,19.0,0.9822676462429814,112.0,0.999420166015625,2,0.13333333333333333,1.0,1.0,False,False
shallow,rectification,GP_Rule_2,He_Kaiming,0,15,0.9014581282933553,0.9086378256479899,0.20098469158013663,0.18639335731665294,38.0,0.8961181640625,80.0,0.873809814453125,6,0.4,1.0,1.0,False,False
shallow,rectification,GP_Rule_2,LeCun,0,15,0.9014581282933553,0.9158024390538534,0.20098469158013663,0.18422713056206702,8.0,0.999420166015625,99.0,0.989227294921875,3,0.2,1.0,1.0,False,False
shallow,rectification,GP_Rule_2,Orthogonal,0,15,0.9014581282933553,0.9107532898585001,0.20098469158013663,0.19817007978757223,18.0,0.9848567155884543,83.0,0.90618896484375,6,0.4,1.0,1.0,False,False
shallow,rectification,GP_Rule_2,FAVI,0,15,0.9014581282933553,0.9093345801035563,0.20098469158013663,0.1927213504910469,9.5,0.9940762096823846,102.0,0.9937744140625,3,0.2,1.0,1.0,False,False
shallow,rectification,GP_Rule_2,Laor,0,15,0.9014581282933553,0.8919080058733623,0.20098469158013663,0.2430079291264216,85.0,0.08441162109375,6.0,0.00042724609375,13,0.8666666666666667,1.0,0.0341796875,False,True
shallow,rectification,GP_Rule_3,Xavier_Glorot,0,15,0.9007216890652975,0.9093420664469402,0.2040546119213104,0.1885378286242485,21.0,0.989227294921875,119.0,0.999969482421875,1,0.06666666666666667,1.0,1.0,False,False
shallow,rectification,GP_Rule_3,He_Kaiming,0,15,0.9007216890652975,0.9086378256479899,0.2040546119213104,0.18639335731665294,40.0,0.873809814453125,86.0,0.93231201171875,4,0.26666666666666666,1.0,1.0,False,False
shallow,rectification,GP_Rule_3,LeCun,0,15,0.9007216890652975,0.9158024390538534,0.2040546119213104,0.18422713056206702,8.0,0.999420166015625,108.0,0.998321533203125,3,0.2,1.0,1.0,False,False
shallow,rectification,GP_Rule_3,Orthogonal,0,15,0.9007216890652975,0.9107532898585001,0.2040546119213104,0.19817007978757223,9.0,0.999237060546875,91.0,0.9635009765625,5,0.3333333333333333,1.0,1.0,False,False
shallow,rectification,GP_Rule_3,FAVI,0,15,0.9007216890652975,0.9093345801035563,0.2040546119213104,0.1927213504910469,10.0,0.9977510667010396,114.0,0.99969482421875,1,0.06666666666666667,1.0,1.0,False,False
shallow,rectification,GP_Rule_3,Laor,0,15,0.9007216890652975,0.8919080058733623,0.2040546119213104,0.2430079291264216,77.0,0.1795654296875,9.0,0.001007080078125,13,0.8666666666666667,1.0,0.079559326171875,False,False
shallow,rectification,GP_Rule_4,Xavier_Glorot,0,15,0.908747128645579,0.9093420664469402,0.1925597940882047,0.1885378286242485,34.0,0.7892105523911774,87.0,0.939727783203125,6,0.4,1.0,1.0,False,False
shallow,rectification,GP_Rule_4,He_Kaiming,0,15,0.908747128645579,0.9086378256479899,0.1925597940882047,0.18639335731665294,61.0,0.488983154296875,65.0,0.619232177734375,8,0.5333333333333333,1.0,1.0,False,False
shallow,rectification,GP_Rule_4,LeCun,0,15,0.908747128645579,0.9158024390538534,0.1925597940882047,0.18422713056206702,28.0,0.9681396484375,76.0,0.8204345703125,8,0.5333333333333333,1.0,1.0,False,False
